 StopAbbr, StopName, NodeAbbr, SiteName, StreetNum, StreetNo, OnStreet, AtStreet, Unit, City, State, ZipCode, AddressSummary, ZoneCode, Phone, Lon, Lat, GeoStatus, CellArea, ShapeId, PercentDistFromA, SegmentSideFlag, Comments, PictureFile, IvrNum, BayNum, StopPosition, FacingDir, FareZoneId, CurbType, InService, LastServiceDate, AccessibilityMask, Preferred, Bench, Shelter, Lighting, Garbage, Telephone, SignPost, Bicycle, Transfer, GpsLon, GpsLat, GpsHeight, GIS_X, GIS_Y, UserD3, UserD4, UserD5, XCRD, YCRD, IPOS, DIST FROM AT ST, GRID, PARC, UserS7, NODE, GTF_Wheelchair_boarding, UserS10, SHORT_DESC, CRNR, ADDR, INTR, LMRK, IMPS, UserA7, STALF, STACF, STBEF, STALN, STACN, STBEN, Sch. Display, LIGHTING, DIR OF TRAVEL, IVR Sign, Garbage, ADA ACCESS, SIDEWALK, LIFT, CURB, CURB CUT, TELEPHONE, PARK & RIDE, BUS STOP TYPE, NEIGHBORHOOD TYP, BASE, LIGHTING, COLLECT DATE, MapPage, CountyCode, Station Name, GpsRadius, StopClass, StopClusterId, Heading
100004,JOSEPH E LOWERY BLVD @ BECKWITH ST SW, ,,0,0,JOSEPH E LOWERY BLVD,BECKWITH,,ATLANTA,,30314,ASHBY ST SW@BECKWITH ST SW,,,-84417600,33752569,-2147483647,0,0,0,0,O, ,100004, ,NS,S,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220269.601,1365148.116,0,0,0,2387,2245,2086,25,25,25,25,25,1,0,100004,NW,N,Y,N,N,0,  ASHBY               ST  SW,  BECKWITH            ST  SW,,  ASHBY               ST  SW,  BECKWITH            ST  SW, ,,S,S ,,,Y,Y ,Y,Y ,Y ,P,N,STR,MIX,DIRT,,Jun 11 1997 12:00:00:000AM,,,,0, ,0,180
100006,JOSEPH E LOWERY BLVD@PARSONS ST SW, ,,0,0,JOSEPH E LOWERY BLVD,PARSONS,,ATLANTA,,30314,ASHBY ST SW@PARSONS ST SW,,,-84417762,33751251,-1,0,0,0,0,O, ,100006, ,NS,S,0, ,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220267.356,1364643.837,0,0,0,2387,2239,4134,30,25,25,25,25,1,0,100006,NW,N,Y,N,N,0,  ASHBY               ST  SW,  PARSONS             ST  SW,,  ASHBY               ST  SW,  PARSONS             ST  SW, ,,S,S ,,,Y,Y ,Y,Y ,Y ,P,N,STR,MIX,CONC,,May 23 1996 12:00:00:000AM,,,,0, ,0,180
100008,JOSEPH E LOWERY BLVD @ ASHBY GRV SW, ,,0,0,JOSEPH E LOWERY BLVD,ASHBY,,ATLANTA,,30314,ASHBY ST SW@ASHBY GRV SW,,,-84417604,33750004,-2147483647,0,0,0,0,O,,100008, ,NS,S,0, ,1,0,1,0,0,0,0,0,0,1,0,1,-84,34,0,2220275.479,1364241.31,0,0,0,2387,2235,4134,15,15,15,15,15,1,0,100008,NW,N,Y,N,N,0,  ASHBY               ST  SW,  ASHBY               GRV SW,,  ASHBY               ST  SW,  ASHBY               GRV SW, ,,S,S ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,SCH,DIRT,,May 23 1996 12:00:00:000AM,,,,0, ,0,179
100010,JOSEPH E LOWERY BLVD @ FAIR ST SW, ,,0,0,JOSEPH E LOWERY BLVD,FAIR,,ATLANTA,,30314,ASHBY ST SW@FAIR ST SW,,,-84417594,33749212,-2147483647,0,0,0,0,O,,100010, ,NS,S,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220271.767,1363957.322,0,0,0,2387,2232,1062,25,25,25,25,25,1,0,100010,NW,N,Y,N,N,0,  ASHBY               ST  SW,  FAIR                ST  SW,,  ASHBY               ST  SW,  FAIR                ST  SW, ,,S,S ,,,Y,Y ,Y,Y ,Y ,P,N,STR,SCH,CONC,,May 23 1996 12:00:00:000AM,,,,0, ,0,180
100012,JOSEPH E LOWERY BLVD SW @ WESTVIEW DR SW, ,,0,0,JOSEPH E LOWERY BLVD,WESTVIEW,,ATLANTA,,30314,ASHBY ST SW@WESTVIEW DR SW, ,,-84417615,33746833,-2147483647,0,0,0,0,0, ,100012, ,NS,S,0, ,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220251.009,1362982.773,0,0,0,2387,2220,1062,50,10,10,10,10,1,0,100012,NW,N,Y,N,N,0,  ASHBY               ST  SW,  WESTVIEW            DR  SW,,  ASHBY               ST  SW,  WESTVIEW            DR  SW, ,,S,S ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,SCH,CONC,,Jun 11 1997 12:00:00:000AM,, ,,0, ,0,180
100014,JOSEPH E LOWERY BLVD @ SELLS AVE SW, , ,0, ,JOSEPH E LOWERY BLVD,SELLS AVE SW, ,ATLANTA, ,30310,ASHBY ST SW@SELLS AVE SW, ,,-84417784,33745587,-1,0,0,0,0,0, ,100014, ,NS,S,0, ,1,0,1,0,1,1,1,1,0,1,0,1,-84,34,0,2220255.702,1362582.954,0,0,0,2387,2216,1062,10,10,10,10,10,1,0,100014,NW,N,Y,N,N,0,JOSEPH E LOWERY BLVD,  SELLS               AVE SW,,JOSEPH E LOWERY BLVD,  SELLS               AVE SW, ,FLAT,S,S ,,Y,Y,Y ,Y,Y ,Y ,P,N,SNT,SCH,CONC,,Jun 11 1997 12:00:00:000AM, , ,,0, ,0,180
100016,WEST END AVE SW @ ASHBY ST SW, ,,0,0,END,ASHBY,,ATLANTA,,30310,END AVE SW@ASHBY ST SW, ,,-84417246,33744403,-2147483647,0,0,0,0,0,,100016, ,FS,E,0, ,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220635.75,1362133.625,0,0,0,2387,2212,1044,75,125,125,125,125,1,0,100016,SE,N,Y,N,N,0,WEST END                 AVE SW,  ASHBY               ST  SW,,WEST END                 AVE SW,  ASHBY               ST  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,SCH,DIRT,,May 23 1996 12:00:00:000AM,, ,,0, ,0,92
100017,WEST END AVE SW @ WELLBORN ST SW, ,,0,0,END,WELLBORN,,ATLANTA,,30310,END AVE SW@WELLBORN ST SW, ,,-84415499,33744304,-1,0,0,0,0,0,,100017, ,NS,E,0, ,1,0,1,0,0,1,0,0,0,0,0,0,-84,34,0,2220949.195,1362114.724,0,0,0,2395,2211,4112,0,0,0,0,0,1,0,100017,SW,N,Y,N,N,0,WEST END                 AVE SW,  WELLBORN            ST  SW,,WEST END                 AVE SW,  WELLBORN            ST  SW, ,,S,E ,,,Y,Y ,Y,Y ,Y ,P,N,SGN,SCH,DIRT,,Aug 18 1997 12:00:00:000AM,, ,,0, ,0,92
100022,W END AVE SW @ ASHBY ST SW, ,,0,0,END,ASHBY,,ATLANTA,,30310,END AVE SW@ASHBY ST SW,,,-84417367,33744570,-2147483647,0,0,0,0,C,,100022, ,NS,W,0, ,1,0,1,0,0,1,0,0,0,0,0,1,-84,34,0,2220430.251,1362268.694,0,0,0,2387,2212,1058,25,25,25,25,25,1,0,100022,NE,N,Y,N,N,0,W END                 AVE SW,  ASHBY               ST  SW,,W END                 AVE SW,  ASHBY               ST  SW, ,,S,W ,,,Y,Y ,N,Y ,Y ,P,N,SGN,SCH,DIRT,,May 23 1996 12:00:00:000AM,,,,0, ,0,272
100024,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,,,0,0,JOSEPH E LOWERY BLVD,FAIR,,ATLANTA,,30314,ASHBY ST SW@FAIR ST SW,,,-84417337,33749024,-1,0,0,0,0,0,,100024,,NS,N,0,,1,0,1,0,0,0,1,0,0,1,0,1,-84,34,0,2220394.511,1363833.315,0,0,0,2387,2232,1036,10,10,10,10,10,1,0,100024,SE,N,Y,N,N,0,  ASHBY               ST  SW,  FAIR                ST  SW,,  ASHBY               ST  SW,  FAIR                ST  SW, ,,S,N ,,,Y,Y ,Y,Y ,Y ,N,N,SGN,SCH,CONC,,May 23 1996 12:00:00:000AM,,,,0,,0,0
